method,operating_point,case,stable,psi_r_rms_wb,psi_r_rel_pct,is_rms_a,is_rel_pct,psi_r_conv_time_ms,is_conv_time_ms
A_four_pole_sylvester,5000rpm_-220Nm,rs_-10pct,True,0.0003546624823226882,0.3274318229305914,0.04689808022039059,0.005881399075292456,2.6899999999999995,3.73
B_hori53_paper,5000rpm_-220Nm,rs_-10pct,True,0.00035848288563980474,0.33095889919267935,0.0,0.0,1.68,0.0
D1_kubota_k1p2_t_type,5000rpm_-220Nm,rs_-5pct,True,0.000562397921456509,0.5192175259951374,7.909715142321795,0.9919423376237009,44.55,nan
C_sled23_t_type,5000rpm_-220Nm,rs_-5pct,True,2.3222194612690372e-05,0.021439215855834408,0.9035381666672545,0.11331100362649274,6.27,10.329999999999998
A_four_pole_sylvester,5000rpm_-220Nm,rs_-5pct,True,0.00017733050361274868,0.1637152305450035,0.023455678023351717,0.0029415319857148186,2.75,3.7199999999999998
B_hori53_paper,5000rpm_-220Nm,rs_-5pct,True,0.00017924144281985385,0.1654794495962949,2.3437142008433856e-13,2.9392074193256357e-14,1.7199999999999998,0.0
D1_kubota_k1p2_t_type,5000rpm_-220Nm,rs_+5pct,True,0.000557341219610754,0.514549073069052,7.7748987283644455,0.9750352674695103,30.329999999999995,nan
C_sled23_t_type,5000rpm_-220Nm,rs_+5pct,True,2.3096062463437428e-05,0.021322768017062253,0.902889316371365,0.11322963254451424,6.239999999999999,11.229999999999999
A_four_pole_sylvester,5000rpm_-220Nm,rs_+5pct,True,0.00017732902817123615,0.16371386838653407,0.02346897720398934,0.0029431998106734672,2.9,3.6999999999999997
B_hori53_paper,5000rpm_-220Nm,rs_+5pct,True,0.0001792414428201094,0.1654794495965308,2.3437142008433856e-13,2.9392074193256357e-14,1.8499999999999999,0.0
D1_kubota_k1p2_t_type,5000rpm_-220Nm,rs_+10pct,True,0.0011103407981445728,1.0250898522722822,15.422602491252825,1.9341192561485607,nan,nan
C_sled23_t_type,5000rpm_-220Nm,rs_+10pct,True,4.60665171354846e-05,0.04252957229350032,1.8051269437129565,0.22637753800683075,6.22,nan
A_four_pole_sylvester,5000rpm_-220Nm,rs_+10pct,True,0.0003546565805929306,0.3274263743302198,0.046951276829428144,0.005888070360891609,2.9999999999999996,3.6899999999999995
B_hori53_paper,5000rpm_-220Nm,rs_+10pct,True,0.000358482885640095,0.3309588991929473,2.3437142008433856e-13,2.9392074193256357e-14,1.94,0.0
D1_kubota_k1p2_t_type,5000rpm_-220Nm,rs_+20pct,True,0.002203642202865765,2.0344485800858663,30.36046184191054,3.8074477966547597,nan,nan
C_sled23_t_type,5000rpm_-220Nm,rs_+20pct,True,9.163270925630074e-05,0.08459723406706689,3.6076358178695123,0.4524267488882076,6.1899999999999995,nan
A_four_pole_sylvester,5000rpm_-220Nm,rs_+20pct,True,0.0007093072571445242,0.6548472979259695,0.09395593570966204,0.011782835263281947,3.2999999999999994,3.6699999999999995
B_hori53_paper,5000rpm_-220Nm,rs_+20pct,True,0.0007169657712800582,0.661917798385773,2.2737367544323206e-13,2.8514500342302815e-14,2.2399999999999998,0.0
D1_kubota_k1p2_t_type,5000rpm_-220Nm,rr_-20pct,True,0.00013379080139331852,0.12351846664091477,8.818982422454917,1.10597181847745,44.529999999999994,nan
C_sled23_t_type,5000rpm_-220Nm,rr_-20pct,True,0.00043170493485372713,0.3985590267726085,0.5790465164382482,0.07261712271221117,7.1899999999999995,9.7
A_four_pole_sylvester,5000rpm_-220Nm,rr_-20pct,True,0.0004381584287761046,0.40451702736358436,1.4098577655769853,0.176807581883771,2.9499999999999997,nan
B_hori53_paper,5000rpm_-220Nm,rr_-20pct,True,0.00038965844869428667,0.35974083117196615,0.0,0.0,1.7199999999999998,0.0
D1_kubota_k1p2_t_type,5000rpm_-220Nm,rr_-10pct,True,3.3087636316098096e-05,0.030547198013426233,3.900339969883931,0.48913422008749513,37.73,nan
C_sled23_t_type,5000rpm_-220Nm,rr_-10pct,True,0.0002144432972788907,0.19797853802700388,0.2913864185623629,0.03654221675241074,6.599999999999999,9.51
A_four_pole_sylvester,5000rpm_-220Nm,rr_-10pct,True,0.00021897628536239155,0.20216348745211082,0.7049262951486139,0.08840346643088808,2.8699999999999997,4.24
B_hori53_paper,5000rpm_-220Nm,rr_-10pct,True,0.0001948232848610676,0.17986493212818874,4.547473508864641e-13,5.702900068460563e-14,1.7399999999999998,0.0
D1_kubota_k1p2_t_type,5000rpm_-220Nm,rr_-5pct,True,9.688196165389306e-06,0.008944345369060918,1.8480005464058546,0.231754235006953,37.449999999999996,nan
C_sled23_t_type,5000rpm_-220Nm,rr_-5pct,True,0.00010687384570656767,0.09866817007011516,0.14618625323766715,0.01833294008138661,6.409999999999999,9.449999999999998
A_four_pole_sylvester,5000rpm_-220Nm,rr_-5pct,True,0.00010946226992193661,0.10105785745347028,0.35246249584616457,0.0442016514834568,2.84,3.8899999999999997
B_hori53_paper,5000rpm_-220Nm,rr_-5pct,True,9.741002665498553e-05,0.0899309743463075,2.3437142008433856e-13,2.9392074193256357e-14,1.7599999999999998,0.0
D1_kubota_k1p2_t_type,5000rpm_-220Nm,rr_+5pct,True,1.3788097349026447e-06,0.0012729459908388443,1.6785480715007097,0.21050352230123712,33.839999999999996,nan
C_sled23_t_type,5000rpm_-220Nm,rr_+5pct,True,0.0001061870181584962,0.09803407650986264,0.14722330929432847,0.018462995309745885,6.109999999999999,9.459999999999999
